song1;song2;similarity
Zé Fadista;Rauss, Quero Voltar;0.5951
Fim De Semana;Secreto Desejo;0.5942
O Meu Curso;Hino Do Lagoa Azul;0.5935
Lua Feiticeira;Promessa de Estudante;0.5933
A Aventura Começou;Coração de Estudante;0.5922
Embuste Das Cidras;Para Ti;0.5904
Hino Do Caloiro;Hino da RaussTuna;0.5880
Fraldiqueiros de Mindelo;Digressão;0.5878
Azevinho;Para Ti;0.5862
Vida De Caloiro;Zé Fadista;0.5862
A Tuna!;Vamos Ao Festival;0.5854
Taberna Transmontana;Sempre Bragança;0.5833
Fraldiqueiros de Mindelo;Azevinho;0.5830
Noite Puxa Noite;Vamos Ao Festival;0.5828
Embuste Das Cidras;Vamos Ao Festival;0.5819
Zé Fadista;Digressão;0.5807
Febres Altas;A Aventura Começou;0.5806
Embuste Das Cidras;Hino da RaussTuna;0.5796
Taberna Transmontana;Vamos Ao Festival;0.5794
Sempre Bragança;Promessa de Estudante;0.5782
Rauss, Quero Voltar;Fraldiqueiros de Mindelo;0.5779
Rauss, Quero Voltar;Para Ti;0.5746
Embuste Das Cidras;Lua Feiticeira;0.5737
Fraldiqueiros de Mindelo;Hino Do Lagoa Azul;0.5712
Secreto Desejo;Vamos Ao Festival;0.5682
Vida De Caloiro;Para Ti;0.5675
A Aventura Começou;Hino Do Lagoa Azul;0.5673
Hino Do Caloiro;Rauss, Quero Voltar;0.5672
Hino Do Caloiro;Sapo Estudante;0.5670
Febres Altas;Sempre Bragança;0.5667
Embuste Das Cidras;Fraldiqueiros de Mindelo;0.5662
Tempo;Fraldiqueiros de Mindelo;0.5661
Fim De Semana;Zé Fadista;0.5658
Lágrima;Sempre Bragança;0.5646
A Aventura Começou;Para Ti;0.5636
Lágrima;Vamos Ao Festival;0.5620
Sempre Bragança;Digressão;0.5619
Sempre Bragança;Fraldiqueiros de Mindelo;0.5602
Hino Do Caloiro;O Meu Curso;0.5597
Embuste Das Cidras;A Tuna!;0.5556
A Aventura Começou;Azevinho;0.5553
Febres Altas;Rauss, Quero Voltar;0.5545
A Tuna!;Fim De Semana;0.5522
Vamos Ao Festival;Coração de Estudante;0.5518
Tempo;Vamos Ao Festival;0.5508
Fim De Semana;Coração de Estudante;0.5492
Fim De Semana;Para Ti;0.5488
A Aventura Começou;Lua Feiticeira;0.5484
Embuste Das Cidras;Coração de Estudante;0.5418
Fim De Semana;Fraldiqueiros de Mindelo;0.5413
A Tuna!;Hino Do Caloiro;0.5366
Sempre Bragança;Vamos Ao Festival;0.5365
Fim De Semana;Lua Feiticeira;0.5352
Embuste Das Cidras;A Aventura Começou;0.5304
Lua Feiticeira;Vamos Ao Festival;0.5288
Hino Do Caloiro;Carpe Diem;0.5275
Embuste Das Cidras;Vida De Caloiro;0.5253
Hino Do Caloiro;Fim De Semana;0.5244
Hino Do Caloiro;Coração de Estudante;0.5235
Sempre Bragança;Noite Puxa Noite;0.5177
Hino Do Caloiro;Carta Sem Endereço;0.5152
Sempre Bragança;Para Ti;0.5141
Azevinho;Vamos Ao Festival;0.5125
Hino Do Caloiro;Promessa de Estudante;0.5096
Hino Do Caloiro;Zé Fadista;0.5069
Hino Do Caloiro;Digressão;0.5050
Vamos Ao Festival;Para Ti;0.5022
Hino Do Caloiro;Serenata Menina;0.5022
Hino Do Caloiro;Secreto Desejo;0.5002
Taberna Transmontana;Hino Do Caloiro;0.4905
Zé Fadista;Vamos Ao Festival;0.4843
Febres Altas;Vamos Ao Festival;0.4842
Hino Do Caloiro;Lua Feiticeira;0.4835
Rauss&Tuna'S;Hino da RaussTuna;0.4833
Hino Do Caloiro;Febres Altas;0.4723
Hino Do Caloiro;Azevinho;0.4716
Rauss&Tuna'S;Digressão;0.4629
Rauss&Tuna'S;Vamos Ao Festival;0.4588
Hino Do Caloiro;Lado a Lado;0.4522
Hino Do Caloiro;Tempo;0.4514
O Meu Curso;Rauss&Tuna'S;0.4487
Sapo Estudante;Rauss&Tuna'S;0.4442
Hino Do Caloiro;Hino Do Lagoa Azul;0.4428
Lágrima;Hino Do Caloiro;0.4353
Embuste Das Cidras;Sempre Bragança;0.4349
Hino Do Caloiro;Para Ti;0.4322
Vida De Caloiro;Rauss&Tuna'S;0.4231
Hino Do Caloiro;Noite Puxa Noite;0.4230
Rauss&Tuna'S;Lado a Lado;0.4199
Rauss&Tuna'S;Rauss, Quero Voltar;0.4165
A Tuna!;Rauss&Tuna'S;0.4123
Lua Feiticeira;Rauss&Tuna'S;0.4100
Carpe Diem;Rauss&Tuna'S;0.3997
Rauss&Tuna'S;Coração de Estudante;0.3956
Rauss&Tuna'S;Azevinho;0.3929
Rauss&Tuna'S;Hino Do Lagoa Azul;0.3886
A Aventura Começou;Rauss&Tuna'S;0.3862
Rauss&Tuna'S;Serenata Menina;0.3857
Sempre Bragança;Rauss&Tuna'S;0.3836
Fim De Semana;Rauss&Tuna'S;0.3777
Taberna Transmontana;Rauss&Tuna'S;0.3708
Febres Altas;Rauss&Tuna'S;0.3674
Hino Do Caloiro;Rauss&Tuna'S;0.3558
Tempo;Rauss&Tuna'S;0.3468
Secreto Desejo;Rauss&Tuna'S;0.3443
Zé Fadista;Rauss&Tuna'S;0.3431
Rauss&Tuna'S;Para Ti;0.3361
Rauss&Tuna'S;Fraldiqueiros de Mindelo;0.3341
Carta Sem Endereço;Rauss&Tuna'S;0.3335
Rauss&Tuna'S;Promessa de Estudante;0.3281
Embuste Das Cidras;Hino Do Caloiro;0.3165
Noite Puxa Noite;Rauss&Tuna'S;0.2837
Lágrima;Rauss&Tuna'S;0.2802
Embuste Das Cidras;Rauss&Tuna'S;0.2726
