song1; song2; similarity
Hino Do Caloiro; Fim De Semana; 0.6906
Hino Do Caloiro; Fraldiqueiros de Mindelo; 0.6898
Rauss&Tuna'S; Coração de Estudante; 0.6872
Hino Do Caloiro; Sapo Estudante; 0.6854
Lua Feiticeira; Fraldiqueiros de Mindelo; 0.6833
Rauss&Tuna'S; Azevinho; 0.6816
Secreto Desejo; Vamos Ao Festival; 0.6794
Hino Do Caloiro; Vamos Ao Festival; 0.6794
Hino Do Caloiro; Rauss, Quero Voltar; 0.6744
Taberna Transmontana; Rauss&Tuna'S; 0.6742
Rauss&Tuna'S; Fraldiqueiros de Mindelo; 0.6739
Noite Puxa Noite; Rauss&Tuna'S; 0.6738
Embuste Das Cidras; Sempre Bragança; 0.6728
Febres Altas; Rauss&Tuna'S; 0.6725
Hino Do Caloiro; Promessa de Estudante; 0.6698
Rauss&Tuna'S; Hino Do Lagoa Azul; 0.6642
Tempo; Vamos Ao Festival; 0.6637
Secreto Desejo; Rauss&Tuna'S; 0.6584
Hino Do Caloiro; Coração de Estudante; 0.6530
Hino Do Caloiro; Carta Sem Endereço; 0.6440
Tempo; Rauss&Tuna'S; 0.6429
Hino Do Caloiro; Carpe Diem; 0.6385
Hino Do Caloiro; Azevinho; 0.6346
Embuste Das Cidras; Lua Feiticeira; 0.6301
Hino Do Caloiro; Digressão; 0.6274
Vamos Ao Festival; Para Ti; 0.6251
Lua Feiticeira; Rauss&Tuna'S; 0.6235
Embuste Das Cidras; Rauss&Tuna'S; 0.6234
A Tuna!; Hino Do Caloiro; 0.6216
Hino Do Caloiro; Serenata Menina; 0.6209
Zé Fadista; Vamos Ao Festival; 0.6177
Hino Do Caloiro; Noite Puxa Noite; 0.6139
Zé Fadista; Rauss&Tuna'S; 0.6135
Taberna Transmontana; Hino Do Caloiro; 0.6133
Hino Do Caloiro; Febres Altas; 0.6064
Lágrima; Hino Do Caloiro; 0.5998
Hino Do Caloiro; Hino Do Lagoa Azul; 0.5987
Embuste Das Cidras; Hino Do Caloiro; 0.5953
Lua Feiticeira; Vamos Ao Festival; 0.5938
Hino Do Caloiro; Secreto Desejo; 0.5910
Hino Do Caloiro; Lado a Lado; 0.5870
Hino Do Caloiro; Rauss&Tuna'S; 0.5844
Hino Do Caloiro; Tempo; 0.5708
Hino Do Caloiro; Zé Fadista; 0.5663
Hino Do Caloiro; Para Ti; 0.5482
Hino Do Caloiro; Lua Feiticeira; 0.5340
